Author(s),Central claim,DOI or URL,Gap or limitation,Journal or Proceedings,Key concepts or framework,Paper Title,Quotable moment,Relevance to argument,Synthesis paragraph,Year,Thread,Reviewers
Johnson et al.,"Interviews and field observations with the San Jose Bike Party, a monthly mass cycling ride organized via social media, find participants hold contested and often depoliticized understandings of the event as collective action, complicating claims that social media organizing democratizes civic participation.",https://doi.org/10.1080/11745398.2022.2156363,"The paper does not analyze whether SJBP has produced any actual change in cycling infrastructure, planning, or policy, and the authors explicitly flag this as a needed direction for future research.","Annals of Leisure Research, 27(4), 543-559","Prefigurative politics: enacting the change one advocates for through the form of the collective action itself, here temporarily claiming road space for cyclists. Virtual activism: activism organized through social media platforms, of contested lasting impact. Democratic divide: unequal ability to participate in a movement based on access to its digital organizing platforms.",Is the medium the message? Exploring the intersection of social media and collective action in the San Jose Bike Party,"""the ride route, which is exclusively posted on electronic platforms"" (p. 10).","A thinner fit for this section's specific claim: the study centers a recreational social movement rather than an infrastructure planning process, and most participants did not describe SJBP as political. Its relevance is indirect, since the authors connect it to broader questions of equity, access, and inclusion in cycling infrastructure advocacy, without empirically testing that connection here.","This paper is included as a boundary case rather than a direct source: it studies grassroots cycling collective action, not infrastructure planning, and finds participants' political motives were often muddled rather than clear. Its value to the section is the authors' own gesture toward equity focused cycling infrastructure advocacy, a connection this study raises but does not test.",2024,Equity,"Shashi, Aditya"
Karner et al.,"Despite civil rights and environmental justice mandates, transportation planning continues to disproportionately burden low income and minority communities because public involvement processes rarely give residents real influence over decisions. The paper proposes a three step model: community led identification of needs, dedicated funding to meet them, and community derived metrics to track progress.",https://doi.org/10.1177/1087724X17738792,"The model's case studies are drawn from California, a state with an unusually strong environmental justice advocacy history and well resourced community based organizations, which the authors note may limit transferability elsewhere.",Public Works Management & Policy,"Just process versus just outcomes: meaningful involvement of historically burdened communities versus fair distribution of benefits and burdens. Priority unmet needs: a model of equity grounded in what communities themselves identify as needed, not abstract quantitative equity analysis. Participatory budgeting: dedicating funds directly to needs identified through community deliberation.",Achieving transportation equity: Meaningful public involvement to meet the needs of underserved communities,"""a near-absence of meaningful public involvement through which affected residents can influence and shape decisions"" (p. 2 of the author preprint).","Directly supports the infrastructure without participation reproduces exclusion half. It argues traditional public involvement is a near absence of meaningful engagement, and proposes a concrete alternative in which community identified needs receive dedicated funding, directly linking genuine participation to just infrastructure outcomes rather than treating them as separate.","This paper offers the section's participatory alternative in concrete, actionable form: community identified needs tied to dedicated funding and community derived metrics, rather than public involvement as a box checking exercise. It reinforces that meaningful participation and just outcomes are not separable goals, directly grounding the exclusion half of the claim in an implementable model.",2017,Equity,"Shashi, Aditya"
Mottee et al.,"Case studies of Amsterdam's North-South Metro line and Sydney's Parramatta Rail Link find that technical, model driven transport planning consistently overlooks social impacts, contributing to lost social licence, poor communication, and inadequate protection of affected communities. Social Impact Assessment, applied early, offers a path to better integrate social issues into megaproject planning.",https://doi.org/10.1080/14649357.2019.1696980,"The study examines only two rail megaprojects in wealthy, high capacity planning contexts, Amsterdam and Sydney, so it may understate the barriers to adopting Social Impact Assessment in lower resourced planning systems.","Planning Theory & Practice, 21(1), 39-57","Social Impact Assessment: a framework for anticipating and managing how projects change people's lives, distinct from purely economic or engineering impact models. Social licence to operate: a community's ongoing acceptance of a project, lost through poor communication and unmet commitments. Predict and provide: a quantitative, model driven planning approach criticized for ignoring wider social context.",Limitations of Technical Approaches to Transport Planning Practice in Two Cases: Social Issues as a Critical Component of Urban Projects,"""dilute the capacity of the public to contribute meaningfully to transport planning"" (p. 15).","Directly supports the infrastructure without participation reproduces exclusion half. Both rail megaprojects show that public consultation occurring late in the project lifecycle fails to transfer community input into how social impacts get assessed and managed, diluting the public's capacity to meaningfully shape infrastructure that affects them.","This paper shows, through two concrete megaproject cases, that consultation without a mechanism to feed into actual project design amounts to participation in name only. It reinforces the exclusion claim by tracing the same failure, technical dominance sidelining community input, across two different high income cities, and proposes Social Impact Assessment as a structural fix rather than a procedural add on.",2020,Equity,"Shashi, Aditya"
Klaever et al.,"Focus groups with mobility disabled people and low income women in Berlin's Graefekiez neighborhood find that non-participation in street space reallocation planning stems from feeling excluded and ignored by prior participatory processes, while a purpose built, transdisciplinary research format better reflected residents' lived expertise.",https://doi.org/10.1080/17450101.2024.2426554,"The case study is a single Berlin neighborhood under a specific green party led local government, and the authors note it is not perfectly generalizable to other transport planning contexts.","Mobilities, 20(3), 555-572","Lived expertise: the practical, embodied knowledge structurally disadvantaged people hold about their own mobility needs, distinct from technical planning expertise. Invited versus claimed spaces: participation opportunities designed by authorities versus spaces residents create themselves. Negative political self-efficacy: the learned sense that speaking up in official participatory venues will not lead anywhere.",Lived expertise of the structurally disadvantaged: towards a more just participatory transport planning process,"""I've been talking to and against walls for years"" (p. 11).","Directly supports the infrastructure without participation reproduces exclusion half. It shows concretely how invited participatory spaces, meant to democratize a car space reallocation project, actively discouraged the structurally disadvantaged residents they claimed to include, reproducing the same exclusion the project intended to fix.","This paper offers a vivid, first person account of how official participation processes can actively produce the disengagement they are meant to prevent, directly reinforcing the claim that infrastructure decisions without genuine participation reproduce exclusion. It also models an alternative, a co-designed research format residents experienced as more welcoming and reflective of their lived expertise.",2025,Equity,"Shashi, Aditya"
Pineo et al.,"Interviews with 23 urban development professionals across U.S. cities find a shift toward more explicitly equitable practices, driven less by government initiative than by community-based organizations and residents adopting radical demands for redistributed resources, alongside strategic framing to counter opposition rooted in individualist and racialized cultural mindsets.",https://doi.org/10.1177/00420980261438717,"The study relies on 23 interviews with professionals rather than the residents whose neighborhoods are affected, and the authors note a remaining knowledge gap about the cultural mindsets that drive opposition to equitable development in particular places.",Urban Studies,"Bottom-up transformation: resident and CBO led initiatives that go beyond procedural inclusion to shift actual resource distribution and power. Bootstraps narrative: a cultural myth of unconstrained individual mobility used to oppose equitable investment. Tactical urbanism: temporary, small scale interventions, such as youth-led road redesigns, used to demonstrate what permanent infrastructure change could look like.",Mindsets and actions: Shifts in equitable and sustainable development in U.S. cities,"""this would not have happened"" without the youth-led project, which ""sort of elevated it for [the state agency]"" and ""showed what was possible"" (p. 11).","A moderate fit: transportation is one of several urban development domains covered alongside housing and parks, not the primary focus. Where most relevant, a youth-led tactical urbanism project redesigning a high-fatality road, it shows infrastructure change becoming possible only after community-led action pushed a reluctant state agency, illustrating the participation half concretely though not exclusively about mobility.","This paper is useful mainly for its broader pattern, that community-led pressure, not government initiative, has been the main driver of recent shifts toward equitable urban development, with a concrete mobility example, youth redesigning a dangerous road, illustrating how bottom-up organizing can force infrastructure change agencies would not have pursued alone.",2026,Equity,"Shashi, Aditya"
Di Ruocco,"A literature review of global best practices finds that technology driven mobility solutions, such as MaaS platforms and accessible transit systems, improve equity for vulnerable groups only when paired with inclusive land use planning, affordable design, and active community participation, and that rural regions and non-elderly vulnerable groups remain understudied.",http://dx.doi.org/10.6093/1970-9870/10872,"The reviewed literature is itself urban centric with limited rural evidence and no longitudinal data, and the paper is a review of secondary sources rather than original fieldwork with vulnerable communities.","TeMA - Journal of Land Use, Mobility and Environment, 18(1), 95-112","Mobility-as-a-Service: a digital platform integrating multiple transport modes into one accessible interface. Intersectional mobility vulnerability: overlapping identities such as gender, disability, race, and economic status that compound transportation barriers. Digital divide: unequal access to the devices and connectivity that ICT-based mobility solutions assume users already have.",Mobilising equity. Emerging evidence for integrating vulnerable communities,"""engagement must go beyond consultation, requiring active citizen participation in planning"" (p. 15).","Supports the unevenly distributed half by cataloging how rural regions and multiple vulnerable groups remain underserved despite smart mobility advancements. It touches the participation half more lightly, noting that engagement must go beyond consultation to active participation in planning, without providing its own case study of that shift.","This review is most useful for documenting the uneven distribution half, showing that smart mobility technologies leave rural residents and several vulnerable groups behind despite their promise. Its treatment of participation is brief and aspirational rather than evidenced, so it complements rather than substitutes for the section's more direct participatory case studies.",2025,Equity,"Shashi, Aditya"
Jensen,"Drawing on research into unhoused, disabled, and aging city dwellers, this book argues that mobility injustice is produced by everyday design choices, benches angled to prevent sleeping, high curbs, short pedestrian crossing signals, not only by policy, and asks who the built world is actually designed for.",https://doi.org/10.4324/9781003459729,"Only the introduction and bibliography were available in the extracted preview; the book's empirical chapters on unhoused, disabled, and aging populations, where the fieldwork evidence lives, could not be reviewed here and should be read directly for case level detail.",Routledge (Changing Mobilities series),"Exclusionary design: material and spatial choices, intentional or not, that curb the mobility of vulnerable groups. Mobility justice: a framework asking who has the right to move, treating autonomous mobility as a fiction sustained by hidden assistance and dependency. Design justice: extending questions of justice to the artifacts and spaces that afford or restrict movement.",Mobility Injustice by Design,"""Who is the built world built for?"" (p. 15, Jensen quoting Hendren, 2020).","Directly supports the infrastructure without participation reproduces exclusion half, reframing exclusion as encoded in physical design decisions, hostile benches, curbs, crossing timers, rather than only in planning process or funding. This entry draws only on the book's introductory chapter and bibliography, since the empirical fieldwork chapters were not included in the available preview text.","This book pushes the section's exclusion claim down to the level of material design, arguing that hostile benches, high curbs, and short crossing signals encode exclusion into infrastructure independent of any single planning decision. Only the introductory framing was available here; the book's later chapters presumably supply fieldwork evidence for unhoused, disabled, and aging Copenhageners that would let this claim be checked against lived experience.",2026,Equity,"Shashi, Aditya"
van Holstein et al.,"A focus group of 16 public transport and disability advocacy practitioners in Victoria, Australia finds that Melbourne's privatized, splintered transport network creates cognitive access barriers for people with intellectual disability that no single service provider can fix alone, requiring network wide collaboration and inclusive participation mechanisms.",https://doi.org/10.1080/23800127.2020.1827557,"The study draws on a single one day focus group of practitioners and advocates rather than people with intellectual disability directly, and is limited to one metropolitan transport system in Victoria, Australia.",Applied Mobilities,"Mobility justice: understanding mobility outcomes as generated at the intersection of transport systems and wider social circumstances, here extended to cognitive access. Splintered urbanism: fragmented, privatized transport governance in which competing operators communicate inconsistently. Performative research: a focus group method aimed at prompting collaboration and change, not just recording existing conditions.",Mobility justice and accessible public transport networks for people with intellectual disability,"""too often, people with disability are not paid for their expertise"" (p. 13).","Directly supports the infrastructure without participation reproduces exclusion half. It shows existing participatory mechanisms, access committees and reference groups, systematically underrepresent people with intellectual disability, and argues genuine inclusion requires network wide collaboration across privatized operators plus fair compensation for advocates' expertise.","This paper extends the participation half of the claim to an overlooked group, showing that even disability focused participatory structures in transport planning routinely exclude people with intellectual disability, and that meaningful inclusion requires paid, coordinated, network wide effort rather than one-off consultation. It grounds the claim in a concrete account of how existing inclusion mechanisms quietly reproduce exclusion.",2020,Equity,"Shashi, Aditya"
Jeghers et al.,"Interviews with 13 city planners, transportation employees, and state representatives in North Florida find that funding shortfalls and misaligned priorities among stakeholders, not lack of awareness, are the main barriers to equitable transportation for mobility vulnerable populations, and that new technologies are being piloted without yet translating into improved access for those groups.",https://doi.org/10.3390/futuretransp4040073,"The study interviewed only 13 stakeholders, all transportation professionals, and the authors note responses may be shaped by participants' professional roles or concern about their employers rather than by mobility vulnerable residents' own perspectives.","Future Transportation, 4, 1520-1536","Mobility vulnerable populations: residents below the poverty line, people with disabilities, and older adults with limited transportation options. SWOT framework: strengths, weaknesses, opportunities, and threats used to structure stakeholders' assessment of the transportation system. Smart Cities Collaborative: a multi city initiative piloting technologies like autonomous rideshare intended to reduce transportation disparities.","North Florida Stakeholder Perspectives: Gaps, Barriers, and Facilitators in the Transportation System","""Politicians come and go. They have priorities, and they do not always match [the priorities of multiple stakeholders]"" (p. 7).","A moderate fit for the unevenly distributed half, since it documents professionals' own acknowledgment that funding and priorities are misaligned with mobility vulnerable and minority populations. It is thinner on the participation half: the study centers professional perspectives rather than community members, and stakeholders admit new technologies have not yet been communicated to the users they are meant to serve.","This paper documents uneven distribution from the professional side, showing transportation officials themselves recognize that funding and political priorities leave some communities, especially higher minority areas, underserved. It is a weaker source for the participation half, since it centers professionals' self-assessment rather than mobility vulnerable residents' direct accounts of exclusion.",2024,Equity,"Shashi, Aditya"
Yin et al.,"Survey data from 664 Ningbo, China residents show social participation, not physical infrastructure or technology acceptance, is the strongest predictor of older adults' unmet travel demand, while health barriers and functional capacity constrain trips differently for middle aged and 75-plus age groups respectively.",https://doi.org/10.1016/j.tra.2026.105130,"Only the abstract, highlights, and introduction of this paywalled article were accessible for this review; the methods, results tables, and discussion sections could not be verified against the source text and should be checked directly before citing specific findings.","Transportation Research Part A: Policy and Practice, 211, 105130","Latent travel demand: unmet mobility need operationalized across four dimensions, health barriers, functional capacity, social participation, and technology acceptance. Active aging: a WHO framework treating older adults as active social participants rather than passive recipients of protection.",Quantification of latent travel demand across age groups with a focus on older adults: a theoretical framework with empirical evidence from China,"""age-friendly policy should move beyond physical infrastructure improvement alone"" (p. 2, Abstract).",A thinner fit for this section: the paper documents unmet travel demand among an aging population through quantitative modeling rather than a case of infrastructure built without community participation. It is included as background evidence that equity in older adult mobility may hinge on social participation opportunities rather than only accessible infrastructure.,"This paper is a thin, quantitative complement to the section's argument: it shows that even for older adults, a group facing well documented mobility barriers, unmet travel demand is driven more by social participation opportunities than infrastructure alone. Only the paper's abstract and introduction were available for this review.",2026,Equity,"Shashi, Aditya"
Contreras et al.,"A four month federal funding suspension halted a community engaged research project meant to center environmental justice organizations in California climate and transportation planning, illustrating how federal science funding disruptions directly reduce vulnerable communities' opportunities to shape infrastructure and climate decisions.",https://doi.org/10.1038/s42949-026-00374-5,"As a first person perspective piece about the authors' own disrupted project, it reports process and consequences rather than completed empirical findings on community risk perceptions, since the underlying data collection itself was interrupted.","npj Urban Sustainability, 6, 71",Epistemic justice: valuing community knowledge as a legitimate form of data on par with quantitative measures. Techno-rational planning: transportation planning dominated by quantitative metrics that can miss lived safety and health concerns communities identify directly. Community-informed data tools: indices like CalEnviroScreen that incorporate community perspectives into official risk assessments.,Beyond research delays: science funding disruptions limit community participation in climate and infrastructure planning,"""the street lacks lighting to illuminate the path at night"" (p. 2).","Directly supports the infrastructure without participation reproduces exclusion half, but through a distinct mechanism: federal funding cuts, not just planning process design, can abruptly cut off the pipeline that lets community knowledge enter climate and transportation decision making, disproportionately affecting the vulnerable communities the project was meant to serve.","This paper adds a distinct mechanism to the exclusion claim: federal funding volatility itself can sever the pipeline connecting community knowledge to infrastructure and climate planning, not just weak local process design. It shows concretely how techno-rational transportation metrics miss lived safety concerns communities can name directly, reinforcing why participation must be actively resourced rather than assumed to continue.",2026,Equity,"Shashi, Aditya"
Bailey et al.,"Reviewing environmental justice and public involvement literature, the authors argue transportation agencies have focused on distributional justice, who bears costs and benefits, while under-theorizing procedural justice, and propose four process metrics plus Structured Public Involvement as a large-group method to make public involvement more inclusive and measurable.","https://doi.org/10.3141/2320-13
","The paper is a conference proceedings submission rather than a peer-reviewed journal article, and its proposed Structured Public Involvement approach is illustrated mainly through the authors' own prior projects rather than independent replication.",Transportation Research Board (TRB) Annual Meeting,"Distributional versus procedural justice: the Rawlsian distinction between fair outcomes and fair decision-making processes, the latter chronically under-researched in transportation EJ work. Arnstein Ladder: a scale of public involvement levels used to benchmark how much power a process gives participants. Q-metric: a stakeholder-reported measure of process satisfaction used to evaluate Structured Public Involvement events.",Towards Environmental Justice in Transportation Decision Making using Structured Public Involvement,"""asked the citizens to return to their respective interest organizations and identify only one or two persons"" (p. 16).","Directly supports the infrastructure without participation reproduces exclusion half with a documented example: a Virginia DOT advisory committee that shrank from 70 interested citizens to about 30 hand-picked representatives, held up in agency literature as a model process despite excluding most of the public who showed up.","This paper's VDOT example is a vivid, documented instance of the exclusion the section describes: an agency-praised process that literally turned away most of the public who showed up to keep the group small. It reinforces that procedural justice, not just distributional outcomes, needs its own metrics, since existing EJ practice has focused far more on who bears costs than on whether decision processes are genuinely inclusive.",2012,Equity,"Shashi, Aditya"
Chapman et al.,"Twenty six interviews with people with diverse visible and invisible disabilities in an Australian city find that dignified mobility depends on accessible infrastructure, inclusive information, and respectful staff interactions across an entire journey, and that a single inaccessible link anywhere in that journey makes participants vulnerable to indignity.",https://doi.org/10.1080/09687599.2023.2203307,"The study is limited to bus and train systems in one Australian city and does not examine taxis, light rail, ferries, or air travel, or factors like time of day and trip purpose.","Disability & Society, 39(9), 2375-2399","Dignified mobility experience: a dynamic interaction between personal preferences, impairment specific needs, infrastructure, staff interactions, and information accessibility across a full journey. Compliance based accessibility: standards like the ADA or Australia's Disability Standards for Accessible Public Transport that rely on voluntary or partial compliance, so meeting a broad standard can still exclude people whose needs it did not anticipate.",The dignity experience of people with disability when using trains and buses in an Australian city,"""being treated like everyone else"" (p. 8).","Supports the infrastructure without participation reproduces exclusion half by showing that standards developed without embedding diverse disabled people's specific needs in planning can be formally met while still excluding them, and argues policy mandates for including people with diverse impairments in planning are urgently needed.","This paper treats dignity, not just physical access, as the measure of whether transport infrastructure includes disabled people, and traces failures back to compliance based standards built without disabled people's specific needs embedded in planning. It reinforces that infrastructure designed without participation reproduces exclusion, even when it technically satisfies accessibility law.",2024,Equity,"Shashi, Aditya"
Bahman et al.,"A conceptual literature review argues that AV deployment's environmental sustainability gains and social equity impacts are deeply intertwined rather than separate concerns, and proposes an integrated framework built on proactive planning, meaningful community engagement, and adaptive governance to keep AV deployment from disproportionately burdening marginalized communities.",https://doi.org/10.1016/j.rtbm.2026.101689,"Only the abstract, highlights, introduction, and truncated section previews of this paywalled article were accessible; the full literature review, framework details, and discussion could not be read and should be verified directly before citing specific claims from those sections.",Research in Transportation Business & Management,"Equity-environmental sustainability nexus: the claim that AV emissions benefits and social equity outcomes are interdependent, so optimizing one without the other risks negative net outcomes. Siloed AV research: the paper's diagnosis that policy, planning, and assessment frameworks currently treat equity and sustainability separately. Social equity: fair distribution of benefits and burdens ensuring equal access regardless of socioeconomic status.",The equity-environmental sustainability nexus in autonomous vehicles: An integrated framework for policy and planning,"""ensuring AVs contribute positively to a future that is both green and fair"" (p. 2, Abstract).","A moderate, AV specific fit for the section: it names meaningful community engagement as a required component of just AV deployment, directly echoing the participation half of the claim, though at the level of a conceptual framework proposal rather than an empirical case. Most useful for feeding the broader Mobility as Social Service argument given its direct AV focus.","This paper's main relevance is naming meaningful community engagement as a required element of just AV deployment, directly connecting to the section's participation claim within the AV context central to the broader project. Because only the introduction and truncated section previews were accessible, its literature review and framework specifics should be verified from the full text before being cited in detail.",2026,Equity,"Shashi, Aditya"
Nakshi et al.,"Qualitative interviews in Toronto's Rexdale neighborhood find that repeated experiences of transport poverty, including racism and harassment on transit, shape marginalized residents' travel attitudes and behavior beyond material deprivation alone, and that delayed transit infrastructure investment compounds this by leaving equity-deserving communities without the reliable service needed to sustain positive attitudes toward transit.",https://doi.org/10.1016/j.tra.2025.104475,"The qualitative, cross-sectional study covers a single marginalized population in one Toronto neighborhood, and the authors call for testing the framework quantitatively and in other populations and geographies.","Transportation Research Part A, 196, 104475","Transport poverty: the combined effect of social and transportation disadvantages that limit mobility. Perceived behavioural control: a person's sense of their own capacity to choose a travel mode, shaped by past experience of poverty and discrimination. Affective versus cognitive attitude: emotional responses to unsafe or discriminatory transit experiences that drive behavior more than favorable abstract opinions about transit.",Travelling in the margins: Impacts of transport poverty on travel attitudes and behaviours,"""transportation should be considered as a social policy issue in and beyond Toronto"" (p. 15).","Supports the unevenly distributed half directly through Rexdale residents' lived experience of transport poverty, and touches the participation half by naming repeated, undelivered infrastructure promises, the delayed Finch West LRT and the closed Line 3 subway serving Scarborough, as a pattern of underinvestment in equity-deserving neighborhoods that compounds distrust.","This paper extends the uneven distribution claim into the psychological register, showing that transport poverty shapes not just access but attitudes and trust toward transit, and that repeated delays to infrastructure meant for equity deserving neighborhoods reinforce that distrust. It supports treating transportation as a social policy issue rather than a purely technical one.",2025,Equity,"Shashi, Aditya"
Linovski et al.,"A national survey and interviews with Canadian local elected officials find they have little direct experience with transportation barriers like unaffordability, disability, or harassment, and while they broadly support procedural equity, they are divided on prioritizing marginalized communities in transportation investment, revealing a disconnect from academic and professional equity discourse.",https://doi.org/10.1080/07352166.2025.2507951,"The study surveys elected officials' self-reported values and experience rather than observing actual investment decisions or outcomes, and non-response bias may mean officials less interested in equity were underrepresented.","Journal of Urban Affairs, 48(5), 1506-1526","Procedural equity: fair decision-making process, distinguished from substantive equity, which prioritizes marginalized communities in resource allocation. Technical-rational model: the tendency of transportation research to treat politicians as external to decision-making rather than examining their own values and political context. Fundamental mismatch: a gap between who makes transit decisions and who is most affected by them.",Transportation barriers and equity: Values and experiences of elected officials,"""a fundamental mismatch between who is making key transit decisions . . . and who is most affected by those decisions"" (p. 2, Linovski et al. quoting TransitCenter, 2022, p. 5).",Directly supports the infrastructure without participation reproduces exclusion half by locating the disconnect at the level of who holds decision-making power in the first place. It shows that the people making transportation investment decisions are demographically and experientially unlike the marginalized communities those decisions most affect.,"This paper locates the exclusion the section describes at its source, showing that the officials who control transportation investment decisions rarely share the lived experience of transportation barriers themselves, and are divided on whether to prioritize marginalized communities even while endorsing fair process. It reframes participation not just as who gets consulted but as who governs.",2026,Equity,"Shashi, Aditya"
Zhang et al.,"Using 2017 National Household Travel Survey data and a logit model, this study finds that unmet travel needs among people with disabilities vary sharply by race, gender, poverty, and age, and that Hispanic PWD and disabled stay-at-home mothers report suppressed rather than absent travel needs due to systemic barriers and reliance on community trust over formal services.",https://doi.org/10.1016/j.ijtst.2025.07.009,The analysis relies on a single cross-sectional national survey and infers suppressed need indirectly from reduced travel patterns rather than through direct qualitative accounts of why travel was curtailed.,International Journal of Transportation Science and Technology,"Unfulfilled travel need: reduced travel that reflects suppressed aspirations under systemic barriers rather than satisfied mobility. Intersectionality: overlapping identities, disability, race, gender, poverty, that compound and complicate travel disadvantage in ways single-category analysis misses. Suppressed mobility: travel demand that goes unreported because barriers have taught people not to expect service.",Investigating unfulfilled travel needs for people with travel-limiting conditions using the 2017 National Household Travel Survey (NHTS) data,"""a constrained ability to fulfill their desired travel needs"" (p. 14).","Supports the unevenly distributed half with quantitative evidence that disability intersects with race, gender, and poverty to produce distinct patterns of suppressed travel need, arguing that transportation equity requires proactive, culturally competent outreach rather than only responding to demand that is already expressed.","This paper adds a methodological caution to the unevenly distributed claim: measured travel frequency can hide suppressed need, especially for groups like Hispanic PWD who trust community networks over formal transportation services after learning not to expect accommodation. It argues equity requires actively uncovering suppressed demand, not just responding to requests already made.",2025,Equity,"Shashi, Aditya"
Wander et al.,"Reviewing U.S. transportation policy and mobility justice theory, this paper argues Universal Basic Mobility should combine three elements, treating mobility as essential to well-being, targeting resources toward those facing transportation insecurity, and pairing subsidy with adequate service, to avoid repeating past piecemeal, single-mode policies that failed to reduce poverty.",https://doi.org/10.1080/01441647.2025.2574358,"The paper is a conceptual policy review rather than an empirical evaluation of any specific UBM pilot program, so its three-part framework has not yet been tested against outcomes data.","Transport Reviews, 46(3), 345-365","Mobility justice: an expanded understanding of mobility as freedom of movement and capability, not just travel speed, central to societal participation and power. Targeted universalism: providing resources unevenly, prioritizing those experiencing transportation insecurity, rather than distributing identical resources to everyone. Transportation insecurity: inability to move safely or in a timely way, concentrated among low income, non-White, and disabled populations.",The promise of Universal Basic Mobility,"""mobility resources are unevenly distributed, so the state must target such resources"" (p. 14).","Supports the unevenly distributed half by tracing transportation insecurity to historical disparities in car access along race and income lines, and connects to the participation half by arguing mobility justice requires centering the voices of those experiencing transportation disparities rather than designing policy around a single mode.","This paper offers the section a policy level articulation of both claim halves: transportation insecurity is unevenly distributed along race and income lines rooted in decades of car access disparities, and mobility justice requires centering the voices of those most affected rather than designing policy around a single mode. It positions Universal Basic Mobility as a concrete framework for practice.",2026,Equity,"Shashi, Aditya"
Mouratidis,"A narrative review of built environment and subjective well-being research since 2021 finds that public transport investment supports well-being and reduces social exclusion, but can also trigger transit-led gentrification and displacement of economically vulnerable residents, while private car access benefits individual users at the cost of collective health and equity externalities.",https://doi.org/10.1016/j.cities.2026.107404,"As a narrative rather than systematic review, study selection relied on the author's framework and judgment, may exclude relevant studies with a less obvious fit, and draws mainly on English-language research underrepresenting the Global South.","Cities, 178, 107404","Pathways framework: a conceptual model linking built environment attributes to subjective well-being through life domains like accessibility, work, and social relationships. Transit-led gentrification: new public transport investment attracting more affluent residents and raising housing costs, eroding accessibility benefits meant for existing lower income residents. Mobility-related exclusion: reduced social participation and well-being for those without car access in car-oriented environments.","Urban planning, the built environment, and subjective well-being: A review of recent research advances","""Planning processes could include participatory approaches which enable the representation of diverse voices"" (p. 12).","A broad, thinner fit for this section: transportation is one of five review categories in a wide-ranging well-being literature synthesis rather than a dedicated case study. It is most useful for the unevenly distributed half, documenting transit-led displacement and mobility exclusion for non-drivers, and briefly names participatory planning as a needed but underused equity tool.","This review's main relevance is documenting that even beneficial transit investments can produce uneven well-being outcomes through displacement, and that the literature calls for participatory planning to represent diverse voices in built environment decisions. As a broad synthesis spanning far beyond transportation, it functions as supporting context rather than a dedicated case for this section's participation claim.",2026,Equity,"Shashi, Aditya"
Situ,"A multidimensional framework combining household housing and transportation cost burden with individual level health, safety, comfort, accessibility, and time constraints finds that low income households in car dependent central Texas suppress travel demand, and that Black and Hispanic single mother households experience disproportionately severe intra-personal travel constraints.",https://doi.org/10.1016/j.tranpol.2025.103857,"Only the abstract, highlights, and introduction of this paywalled article were accessible; the full methodology, results tables, and discussion could not be read and should be verified directly before citing specific quantitative findings.","Transport Policy, 174, 103857","Housing and Transportation Cost-to-Income Ratio: a household level affordability measure combining housing and travel costs against income. Intra-personal Travel Constraints propensity: an individual level model estimating the probability of facing health, safety, comfort, accessibility, or time barriers to reaching desired destinations. Suppressed travel demand: reduced travel driven by constraint rather than preference.",Who faces travel constraints? Analyzing household and individual travel challenges in automobile-dependent central Texas,"""single-mother households displayed distinct patterns of constraint"" (p. 2, Abstract).","Supports the unevenly distributed half with a granular, intersectional account of who bears travel constraints in an automobile dependent region, showing race and gender compound to concentrate the most severe constraints among Black and Hispanic single mothers, and that expanding non-automobile options is necessary to address it.","This paper adds fine-grained, intersectional evidence to the uneven distribution claim, showing that in a car dependent region, travel constraints concentrate most severely among Black and Hispanic single mother households once both affordability and personal barriers are measured together. Only the paper's abstract and introduction were available for this review.",2025,Equity,"Shashi, Aditya"
Karner et al.,"The authors argue transportation planning should shift from state-centered equity analyses, which mostly measure and reform how benefits and burdens are distributed, toward transportation justice, which demands structural redistribution of political power and resources and treats residents' active participation in decisions as essential, drawing on hybrid case studies where community organizing reshaped state planning outcomes.",https://doi.org/10.1177/0885412220927691,"The hybrid case studies described are exceptional, well-organized regional coalitions capable of contending with state agencies on their own terms, so the paper's own examples suggest this level of organizing capacity may not be replicable everywhere.",Journal of Planning Literature,"Transportation equity versus transportation justice: equity as reform of distribution within existing state processes, justice as transformation of the structures and power relations producing inequity. Pro forma public involvement: participation processes solicited to satisfy legal requirements that are unlikely to affect final decisions. Hybrid state and society-centric strategies: community organizations using state planning processes and technical analyses to win real concessions.","From transportation equity to transportation justice: Within, through, and beyond the state","""it is often pro forma, and its results are unlikely to affect ultimate decisions"" (p. 3 of the author manuscript).","Directly and centrally supports the infrastructure without participation reproduces exclusion half, and gives concrete counter-examples of genuine participation's effect: a Fresno community-led needs assessment that exposed how little transit access reached identified disadvantaged communities and won a dedicated grant program, and a Bay Area community-developed equity scenario that outperformed the regional agency's preferred plan and won funding concessions.","This paper offers the section's clearest theoretical statement of the exclusion claim, distinguishing equity as reform from justice as transformation of power, and backs it with two concrete wins, Fresno's community-led needs assessment and the Bay Area's community-authored equity scenario, where organized participation changed what got funded and built. It also cautions that such wins required unusually well-organized coalitions.",2020,Equity,"Shashi, Aditya"
