Thread,Reviewers,Author(s),Year,Paper Title,C1_AVs_are_infrastructure,C1_AVs_are_infrastructure_reason,C2_arrives_without_input,C2_arrives_without_input_reason,C3_efficiency_values,C3_efficiency_values_reason,C4_community_concerns_govern,C4_community_concerns_govern_reason,C5_misalignment,C5_misalignment_reason,C6_broader_pattern,C6_broader_pattern_reason,C7_mobility_as_social_service,C7_mobility_as_social_service_reason
Participatory Method,Mariya,"Forlano, L., & Mathew, A.",2014,From design fiction to design friction: Speculative and participatory design of values-embedded urban technology.,none,"General urban technology, not AV/infrastructure specific",partial,Friction from resistance and reframing is a symptom of imposed technology meeting resistance,none,Not applicable,direct,Embedded values become visible and contestable through friction,partial,"Friction as the site where misalignment surfaces, meta-level not case-specific",partial,"Mixed policy actor stakeholders, broader than just AVs",partial,Design friction as ongoing negotiation is a relational process
Participatory Method,Mariya,"Omori, M., & Lim, Y.",2025,Design futuring through diegetic prototypes: Provoking value reflection on emerging technologies.,none,Not applicable,none,"Method-focused single case, not documented exclusion",none,Not applicable,partial,Provokes people to reflect on their own values,none,Not applicable,none,"Single design case, no generalization claim",none,No relational provisioning framing
Participatory Method,Mariya,"Sörries, P., Leimstädtner, D., & Müller-Birn, C.",2024,Advocating values through meaningful participation: Introducing a method to elicit and analyze values for enriching data donation practices in healthcare.,none,"Healthcare/legal data-donation domain, not AVs",partial,Method for converting stakeholder values into design requirements avoids imposed design,none,Not applicable,direct,Vulnerable stakeholders' values are converted into concrete design requirements,none,"Positive/successful case, not documenting a misalignment",partial,Single healthcare/legal context; own text notes transferability to mobility is untested,direct,"Own text: closes the workshop-to-values-to-design pipeline, directly analogous to ongoing equitable provisioning"
Participatory Method,Mariya,"Wong, R.Y., Mulligan, D.K., Van Wyk, E., Pierce, J., & Chuang, J.",2017,Eliciting values reflections by engaging privacy futures using design workbooks.,none,"Privacy technology domain, not AVs",partial,Design workbook is a deliberate values-surfacing alternative to imposed design,none,Not applicable,direct,Values levers foreground values as central to design,none,"Methodological demonstration, not a misalignment case",partial,Privacy by Design is an established broader design paradigm,none,No relational provisioning framing
Food Justice,"Joy, Crystal","Justine Lindemann, Natalia Alvial, Theodore R. Alter",2026,Food apartheid in Pennsylvania’s Mon Valley as a fractal representation of a global racialized corporate food regime,none,Not about AVs,partial,"Political abandonment and deindustrialization as structural exclusion, not a single infrastructure-arrival event",none,No efficiency-values framing; racial capitalism framing instead,direct,"Community-driven visions for food sovereignty and resilience, elicited via listening sessions, are central",partial,Implied misalignment between corporate food regime and community-defined needs,direct,"Connects to global racial capitalism and deindustrialization, a broad historical pattern beyond this one valley",partial,"Food sovereignty and resilience are relational and community-defined, food domain analog rather than mobility itself"
Food Justice,"Joy, Crystal","Ashley B. Gripper, Rachel Nethery, Tori L. Cowger, Monica White, Ichiro Kawachi, Gary Adamkiewicz",2022,Community solutions to food apartheid: A spatial analysis of community food-growing spaces and neighborhood demographics in Philadelphia,none,Not about AVs,none,Not about infrastructure-technology arrival; documents existing spatial pattern,none,Not applicable,direct,Urban agriculture as collective agency and community resistance is a direct community-concerns finding,none,Not a misalignment case; a positive counter-response finding,partial,"Pattern of community garden response to food apartheid, food-domain specific",partial,"Community gardens as ongoing, community-authored provisioning, food-domain analog to Mobility as Social Service"
Food Justice,"Joy, Crystal","Sandra Murray, Fred Gale, David Adams, Lisa Dalton",2023,A scoping review of the conceptualisations of food justice,none,Not about AVs,none,"Scoping review of concepts, not a documented arrival-without-input case",none,Not applicable,direct,Own text: acknowledges community participation and agency as critical for transformative change,none,"Conceptual review, no specific misalignment case",partial,"Field-level review across five themes, food-domain specific",none,No relational-provisioning framing beyond noting participation as a theme
Food Justice,"Joy, Crystal","Katharine S. E. Cresswell Riol, Sean Connelly",2023,Beyond a neoliberal critique of hunger: a genealogy of food charity in Aotearoa New Zealand,none,Not about AVs,direct,Colonization destroyed Maori food sovereignty; charity used to depoliticize hunger without community's own terms,none,Not an efficiency-values framing; a neoliberal/colonial critique instead,partial,Argues food insecurity requires looking past neoliberal critique to deeper community history,direct,Own text: charity's normalization vs the deeper structural needs it obscures,direct,"Colonialism and capitalism as deep historical roots, explicitly broader than any one policy",none,"Historical/genealogical, not a relational-provisioning proposal itself"
Food Justice,"Joy, Crystal","Philip Engelbutzeder, Yannick Bollmann, Katie Berns, Marvin Landwehr, Dave Randell, and Volker Wulf",2023,(Re-)Distributional Food Justice: Negotiating conflicting views of fairness within a local grassroots community,none,Not about AVs,none,Not about arrival without input; describes an active community negotiation process,none,Not applicable,direct,Community building in food sharing depends on negotiating community-held conceptions of fairness,none,Not a misalignment case; documents ongoing negotiation rather than an imposed mismatch,none,"Single local context (Siegen, Germany), not framed as a broader pattern",direct,"Food sharing as an ongoing, ICT-mediated relational practice negotiating fairness is close to the food-domain analog of Mobility as Social Service"
Food Justice,"Joy, Crystal","Reem Talhouk, Kyle Montague, Hala Ghattas, Vera Araujo-Soares, Balsam Ahmad, Madeline Balaam",2022,"Refugee Food Insecurity & Technology: Surfacing Experiences of Adaptation, Navigation, Negotiation and Sharing",none,Not about AVs,none,"Documents coping strategies, not a specific arrival-without-input case",none,Not applicable,direct,"Adaptation, navigation, negotiation, and sharing are refugees' own community-held coping practices",none,Not a misalignment case,none,"Single refugee community in rural Lebanon, limited generalizability per own text",partial,"Technology supporting resource sharing and new practices is a relational, ongoing provisioning concept in the food domain"
Food Justice,"Joy, Crystal","Pascale Joassart-Marcelli, Fernando J. Bosco, Keavy McFadden",2026,"Assembling solutions: digital platforms, community food insecurity, and the politics of food justice",none,Not about AVs,direct,"Platforms reproduce individualized, market-based logics rather than being shaped by community-defined procedural inclusion",direct,"Own text: treats access as an efficiency problem, a direct efficiency-values framing, though for food platforms not transportation engineering",direct,"Judges platforms against recognition, redistribution, and procedural inclusion as the standard communities need",direct,Own text: platforms fall short of food justice's recognition/redistribution/procedural-inclusion standard by optimizing for efficiency instead,direct,"Extends the food apartheid critique of food desert language into digital solutionism broadly, a named broader pattern",partial,"Names what provisioning should look like (recognition, redistribution, procedural inclusion) but the paper is critique-focused rather than proposing the ongoing relational model itself"
Food Justice,"Joy, Crystal",Andrew Deener,2017,The Origins of the Food Desert: Urban Inequality as Infrastructural Exclusion,partial,"Frames food distribution as sociotechnical infrastructure explicitly, though not transportation/AV infrastructure",direct,"Own text: infrastructural exclusion severed residents from retail systems through decisions no single actor made, without their input",direct,Path-dependent reorganization of distribution systems prioritizing efficiency of the retail network over resident access,partial,"Residents' historical dependence on retail systems is documented, though the paper is historical/structural rather than centering residents' present-day voice",direct,Distribution system's path-dependent logic vs. residents' severed access is a clear structural misalignment,direct,"Explicitly a broader, non-food-specific claim about infrastructural exclusion as a general urban-inequality mechanism",none,"Historical/structural analysis, not a relational-provisioning proposal"
Food Justice,"Joy, Crystal","Yasmin Shaker, Sara E. Grineski, Timothy W. Collins, Aaron B. Flores",2023,"Redlining, Racism and Food Access in US Urban Cores",none,Not about AVs,direct,"Redlining-era lending policy shaped present-day access without residents' input, decades before the fact",partial,Federal lending policy as a technical/actuarial logic overriding community need,partial,"Documents who bears the access gap, quantitatively rather than through resident voice",direct,Historical racist policy vs. present-day residents' access needs is a clear structural misalignment,direct,"Explicit historical throughline from 1930s HOLC grading to present, a broad non-food-specific mechanism",none,"Quantitative structural study, no relational-provisioning framing"
Food Justice,"Joy, Crystal","Sebastian Prost, Clara Crivellaro, Andy Haddon, Rob Comber",2018,Food Democracy in the Making: Designing with Local Food Networks,none,Not about AVs,partial,"Argues HCI should design for systems change rather than individual behavior, implying current tools do not",none,Not an efficiency-values framing; argues for expanding past health/sustainability framing,direct,Food democracy: who can participate in a food system depends on who can reach and shape it,none,"Programmatic/agenda-setting paper, not a documented misalignment case",partial,"HCI-wide argument, food-domain specific though framed as generalizable design principle",direct,"Food democracy as social/economic justice and democratic governance in food systems closely parallels ongoing, relational, equitable provisioning"
Food Justice,"Joy, Crystal","Katharine S. E. Cresswell Riol, Sean Connelly",2025,Human Dignity as a Lens and Framing of Food Charity,none,Not about AVs,direct,Charity system's conditionality was built and imposed on recipients without their voice in its design,none,Not an efficiency-values framing; a neoliberal-welfare critique,direct,"Argues dignity, autonomy, and choice, not just material sufficiency, are what should govern assistance",direct,"Own text: growth of food charity reframes insecurity as personal failing and undermines dignity via surveillance, enforced gratitude, and stigma",direct,"Frames this as reflecting broader neoliberal erosion of welfare generally, not specific to any one program",partial,"Argues for autonomy/choice/political voice in assistance, food-domain analog to relational provisioning"
Food Justice,"Joy, Crystal","Joslyn Brenton, Alyssa Tindall, Karen Glanz, Senbagam Virudachalam",2025,The role of dignity in food assistance: Participant experiences with a free meal kit program,none,Not about AVs,none,Proposes a positive design framework rather than documenting an arrival-without-input case,none,Not applicable,direct,Six components of a high-dignity food assistance experience are explicitly community/recipient-centered design criteria,none,"Constructive framework paper, not itself a documented misalignment case",partial,"General dignity-in-assistance framework, food-domain specific",direct,"Dignity as a designable property of an ongoing service, including minimizing access burden, closely parallels Mobility as Social Service in the food domain"
Food Justice,"Joy, Crystal","Patricia Boling, Chiara Cervini",2023,Food justice: turning private choices into public issues,none,Not about AVs,partial,Argues food decisions are treated as private/individual when they are properly public and systemically caused,none,Not an efficiency-values framing,direct,Own text: food problems should be framed as collective matters demanding public remedy,partial,"Implies misalignment between individual-behavior framing and the actually public, systemic nature of the problem",direct,General public-values argument extending beyond food specifically,none,"Argumentative/philosophical, not a relational-provisioning proposal itself"
Food Justice,"Joy, Crystal","Sara Heitlinger, Lara Houston, Alex Taylor, Ruth Catlow",2021,Algorithmic Food Justice: Co-Designing More-than-Human Blockchain Futures for the Food Commons,none,Not about AVs,partial,"Argues food system governance values need reconfiguring, implying current systems were not community-shaped",partial,Critiques 'optimising distribution' as the current default logic to be moved past,direct,Co-design surfaces communities' own alternative value regimes for the food system,direct,Own text: contrasts reconfiguring embedded values against optimising distribution within existing values,partial,"HCI/food-domain specific framing, though the co-design-surfaces-values claim generalizes",direct,"Explicitly proposes co-design to reconfigure values in food system governance, a close food-domain parallel to Mobility as Social Service"
Food Justice,"Joy, Crystal",Ashanté M. Reese,2019,"Black Food Geographies: Race, Self-Reliance, and Food Access in Washington, D.C.",none,Not about AVs,direct,Structural disinvestment shaped Black neighborhoods' food access without residents' input into that disinvestment,none,Not an efficiency-values framing; anti-Blackness and disinvestment framing instead,direct,"Residents' own everyday practices of self-reliance are framed as active agency, not passive lack",direct,Deficit framings like 'food desert' misdescribe residents' actual strategic navigation of an unjust system,direct,"Own text: conceptual source underlying food apartheid framing broadly, explicitly general beyond one city",partial,"Self-reliance as ongoing strategic navigation is relational and agentive, a food-domain conceptual precursor"
